"
Ländergruppierungen";männlich
Insgesamt;14,2
Europa;17
EU-27 (seit 01.02.2020);16,1
Drittstaaten zu EU-27 (seit 01.02.2020);12,9
EU-28 (bis 31.01.2020);16,1
Drittstaaten zu EU-28 (bis 31.01.2020);12,9
EU-27 (bis 30.06.2013);15,9
Drittstaaten zu EU-27 (bis 30.06.2013);13,2
EU-25 (bis 31.12.2006);19,4
Drittstaaten zu EU-25 (bis 31.12.2006);12,4
EU-15 (bis 30.04.2004);24,8
Drittstaaten zu EU-15 (bis 30.04.2004);12,2
EG-12 (bis 31.12.1994);24,4
Drittstaaten zu EG-12 (bis 31.12.1994);12,5
EG-10 (bis 31.12.1985);25,2
Drittstaaten zu EG-10 (bis 31.12.1985);12,8
EG-9 (bis 31.12.1980);25
Drittstaaten zu EG-9 (bis 31.12.1980);13,1
EWG-6 (bis 31.12.1972);26
Drittstaaten zu EWG-6 (bis 31.12.1972);13,2
Afrika;9,2
Nordafrika;10,6
Westafrika;8,9
Zentralafrika;8,9
Ostafrika;7,6
Südafrika;12,8
Amerika;12,8
Nordamerika;17,9
Mittelamerika und Karibik;9,3
Südamerika;7,9
Asien;7,5
Vorderasien;6,9
Süd- und Südostasien;9
Ost- und Zentralasien;7,7
Australien und Ozeanien;12,7
Gastarbeiterländer;24,2
Gebiet des ehemaligen Jugoslawien;18,3
Gebiet des ehemaligen Serbien und Montenegro;17,7
Gebiet der ehemaligen Sowjetunion;5,7
Gebiet der ehemaligen Tschechoslowakei;10,5
Vereinigtes Königreich einschl.brit.Überseegebiete;17,3
