;"Stichtag
Ländergruppierungen"
DK640743;Insgesamt
UQ950110;Europa
TK761047;EU-27 (seit 01.02.2020)
KF707970;Drittstaaten zu EU-27 (seit 01.02.2020)
GU698542;EU-28 (bis 31.01.2020)
DI688551;Drittstaaten zu EU-28 (bis 31.01.2020)
KE692049;EU-27 (bis 30.06.2013)
KR837465;Drittstaaten zu EU-27 (bis 30.06.2013)
BT882606;EU-25 (bis 31.12.2006)
DU526820;Drittstaaten zu EU-25 (bis 31.12.2006)
CH546685;EU-15 (bis 30.04.2004)
EQ640875;Drittstaaten zu EU-15 (bis 30.04.2004)
OM621973;EG-12 (bis 31.12.1994)
PJ779038;Drittstaaten zu EG-12 (bis 31.12.1994)
GM554110;EG-10 (bis 31.12.1985)
FU916108;Drittstaaten zu EG-10 (bis 31.12.1985)
HM512020;EG-9 (bis 31.12.1980)
SE904030;Drittstaaten zu EG-9 (bis 31.12.1980)
MR668522;EWG-6 (bis 31.12.1972)
HD986059;Drittstaaten zu EWG-6 (bis 31.12.1972)
TH619151;Afrika
NN960374;Nordafrika
UK931143;Westafrika
AT763766;Zentralafrika
EO907888;Ostafrika
HG693035;Südafrika
ON796154;Amerika
IN506034;Nordamerika
EI546408;Mittelamerika und Karibik
LM956066;Südamerika
AH668493;Asien
NF672126;Vorderasien
LU686768;Süd- und Südostasien
NL677168;Ost- und Zentralasien
QN568000;Australien und Ozeanien
PP598172;Gastarbeiterländer
KB715021;Gebiet des ehemaligen Jugoslawien
PL709261;Gebiet des ehemaligen Serbien und Montenegro
BI709844;Gebiet der ehemaligen Sowjetunion
HJ747346;Gebiet der ehemaligen Tschechoslowakei
FF831049;Vereinigtes Königreich einschl.brit.Überseegebiete
